clamp,0.6,0.7,0.8,0.9,1.0
EV type 0,3.32e+07,6.54e+05,1.19e+03,4.85e-01,0.00e+00
EGR type 0,2.20e+10,1.18e+11,3.78e+08,1.19e+06,4.76e+03
EV type 1,2.39e+07,2.99e+04,5.35e-01,4.72e-01,0.00e+00
EGR type 1,2.50e+06,8.96e+06,2.47e+06,7.25e+04,2.96e+02
EV type 2,3.03e+05,1.25e+02,5.27e-01,4.66e-01,0.00e+00
EGR type 2,5.91e+08,3.98e+09,1.24e+09,6.13e+04,4.91e+02
